Cell_ID,Experiment_ID,Expression_Count
CL0000913,119,336
CL0011025,119,365
CL0000763,119,91
CL0000646,58,146
CL0000158,58,124
CL0017000,58,7
CL1000272,58,177
CL1000329,58,37
CL0002504,11,1041
CL0000222,11,1354
CL0000057,11,782
CL0000584,11,1174
CL0000178,21,857
CL0000617,22,1301
CL0000540,29,3432
CL0000540,30,3432
CL0002131,37,2735
CL0002129,89,1711
CL1000309,89,1011
CL0002319,89,663
CL0000077,39,327
CL0000669,39,462
CL0002553,39,1467
CL0019019,39,533
CL0000186,39,339
CL0000192,39,248
CL0000359,39,198
CL0002241,39,793
CL0000136,48,769
CL0000115,112,2324
CL0000136,49,769
CL0000136,50,769
CL0000115,114,2324
CL0000136,51,769
CL0000115,115,2324
CL0000115,113,2324
CL0000057,53,3635
CL0000646,53,6210
CL0000786,55,6239
CL0000895,65,889
CL0000003,65,795
CL0000815,65,758
CL0000809,65,1751
CL0000037,65,640
CL0000900,65,878
CL0002489,65,1765
CL0000915,65,773
CL0000623,65,1187
CL0000837,65,599
CL0000084,65,1005
CL0000050,65,576
CL0001071,65,577
CL0000182,69,1079
CL0000253,69,232
CL0000540,69,672
CL0000125,69,992
CL0000115,69,1799
CL0000186,69,1269
CL0000062,69,456
CL0000148,69,214
CL0000594,69,609
CL0000066,69,1957
CL0000151,70,905
CL0000151,71,905
CL0000151,72,905
CL0000151,73,905
CL0003050,90,902
CL0002139,92,6529
CL0002368,116,507
CL0000653,2,72
CL0019018,2,108
CL0002453,84,1403
CL0000860,55,5190
CL0000788,15,498
CL0000980,15,323
CL0000982,15,132
CL0001054,93,1755
CL0000236,93,551
CL0000897,93,784
CL0000788,16,498
CL0000980,16,323
CL0000982,16,132
CL0001054,94,1755
CL0000236,94,572
CL0000897,94,784
CL0000763,9,968
CL0002038,31,230
CL0000115,53,2128
CL1000329,53,1061
CL0000151,53,2373
CL0000319,53,1040
CL0000909,55,5018
CL0000787,55,6924
CL0000235,55,2861
CL0000584,61,635
CL0019031,61,256
CL0000584,62,635
CL0019031,62,256
CL0005012,70,140
CL0000646,70,547
CL0002480,70,756
CL0000765,70,170
CL0005012,71,140
CL0000646,71,547
CL0002480,71,756
CL0000765,71,170
CL0005012,72,140
CL0000646,72,547
CL0002480,72,756
CL0000765,72,170
CL0005012,73,140
CL0000646,73,547
CL0002480,73,756
CL0000765,73,170
CL0002144,92,4287
CL0002062,116,136
CL0000127,43,381
CL0011026,11,675
CL0000765,11,95
CL0011012,11,583
CL0000164,11,300
CL0000988,11,243
CL1000413,11,142
CL0011108,11,700
CL0007011,11,511
CL0000186,11,439
CL0000034,11,455
CL0019031,11,304
