Cell_ID,Disease_ID,Expression_Count
CL1000272,PATO0000461,277
CL1000329,PATO0000461,1098
CL0002504,PATO0000461,1130
CL0000222,PATO0000461,1354
CL0000584,PATO0000461,1938
CL0000178,PATO0000461,857
CL0000617,MONDO0004975,1301
CL0000540,MONDO0004975,3432
CL0002131,PATO0000461,2743
CL0002129,PATO0000461,1711
CL1000309,PATO0000461,1011
CL0002319,PATO0000461,663
CL0019019,PATO0000461,533
CL0000186,PATO0000461,2097
CL0002241,PATO0000461,793
CL0000136,MONDO0005021,769
CL0000115,MONDO0005021,2324
CL0000136,MONDO0005418,769
CL0000136,MONDO0016587,769
CL0000115,MONDO0016587,2324
CL0000136,PATO0000461,769
CL0000115,MONDO0005418,2324
CL0000786,PATO0000461,7424
CL0000895,PATO0000461,3844
CL0000815,PATO0000461,2563
CL0000809,PATO0000461,1757
CL0000037,PATO0000461,1190
CL0000900,PATO0000461,2552
CL0002489,PATO0000461,1765
CL0000915,PATO0000461,773
CL0000837,PATO0000461,749
CL0000050,PATO0000461,576
CL0001071,PATO0000461,577
CL0000182,PATO0000461,1104
CL0000253,PATO0000461,232
CL0000125,PATO0000461,1136
CL0000062,PATO0000461,456
CL0000148,PATO0000461,214
CL0000594,PATO0000461,609
CL0000066,PATO0000461,2030
CL0000151,MONDO0021113,905
CL0000151,MONDO0100096,905
CL0000151,MONDO0100233,905
CL0000151,PATO0000461,3278
CL0003050,PATO0000461,902
CL0002139,PATO0000461,6529
CL0002368,PATO0000461,507
CL0019018,PATO0000461,109
CL0000860,PATO0000461,5260
CL0000788,MONDO0100096,498
CL0000980,MONDO0100096,482
CL0000982,MONDO0100096,184
CL0001054,MONDO0100096,1755
CL0000236,MONDO0100096,1461
CL0000897,MONDO0100096,784
CL0000980,PATO0000461,482
CL0000982,PATO0000461,184
CL0000897,PATO0000461,3962
CL0000763,MONDO0100096,1728
CL0002038,PATO0000461,260
CL0000319,PATO0000461,1040
CL0000909,PATO0000461,6063
CL0000787,PATO0000461,7255
CL0000584,MONDO0005011,635
CL0019031,MONDO0005011,256
CL0019031,PATO0000461,562
CL0005012,MONDO0021113,140
CL0000646,MONDO0021113,547
CL0002480,MONDO0021113,756
CL0000765,MONDO0021113,170
CL0005012,MONDO0100096,140
CL0000646,MONDO0100096,547
CL0002480,MONDO0100096,756
CL0000765,MONDO0100096,170
CL0005012,MONDO0100233,140
CL0000646,MONDO0100233,547
CL0002480,MONDO0100233,756
CL0000765,MONDO0100233,170
CL0005012,PATO0000461,140
CL0002480,PATO0000461,756
CL0000765,PATO0000461,265
CL0011026,PATO0000461,1092
CL0011012,PATO0000461,583
CL0000164,PATO0000461,718
CL0000988,PATO0000461,243
CL0011108,PATO0000461,700
CL0007011,PATO0000461,511
CL0000034,PATO0000461,455
CL0000115,MONDO0002492,1600
CL0000115,MONDO0005300,1600
CL0000057,MONDO0005011,441
CL0000985,MONDO0005011,175
CL0000682,MONDO0005011,99
CL0000787,MONDO0005011,87
CL0002250,MONDO0005011,340
CL0000164,MONDO0005011,59
CL0002543,MONDO0005011,84
CL0000125,MONDO0005011,141
CL0009010,MONDO0005011,294
CL0019032,MONDO0005011,33
CL0000985,PATO0000461,175
CL0000682,PATO0000461,99
CL0002250,PATO0000461,340
CL0009010,PATO0000461,294
CL0019032,PATO0000461,33
CL0002543,MONDO0004298,213
CL0002543,MONDO0004966,213
CL0002543,MONDO0013662,213
CL1001106,MONDO0002492,2778
CL1001106,MONDO0005300,2778
CL0000233,MONDO0100096,260
CL0000909,MONDO0100096,1045
CL0000972,MONDO0100096,204
CL0000898,MONDO0100096,748
CL0000984,MONDO0100096,170
CL0000232,MONDO0100096,121
CL0000233,PATO0000461,358
CL0000898,PATO0000461,748
CL0000984,PATO0000461,170
CL0000232,PATO0000461,668
CL0000001,PATO0000461,10
CL0002088,PATO0000461,279
CL1001111,PATO0000461,584
CL1000500,PATO0000461,1162
CL1000768,PATO0000461,1535
CL0002306,MONDO0002492,2803
CL1001107,MONDO0002492,2175
CL0000738,MONDO0002492,1662
CL0000653,MONDO0002492,221
CL1001111,MONDO0002492,584
CL1000500,MONDO0002492,1162
CL1001431,MONDO0002492,2653
CL1001432,MONDO0002492,1762
CL1000849,MONDO0002492,1542
CL1000768,MONDO0002492,1535
CL0002306,MONDO0005300,2803
CL1001107,MONDO0005300,2175
CL0000738,MONDO0005300,1662
CL0000653,MONDO0005300,221
CL1001111,MONDO0005300,584
CL1000500,MONDO0005300,1162
CL1001431,MONDO0005300,2653
CL1001432,MONDO0005300,1762
CL1000849,MONDO0005300,1542
CL1000768,MONDO0005300,1535
CL0000236,MONDO0005011,322
CL0000987,MONDO0005011,168
CL0000987,PATO0000461,168
CL0000556,PATO0000461,360
CL0001065,PATO0000461,665
CL0000936,PATO0000461,699
CL0000784,PATO0000461,525
CL0000817,PATO0000461,1422
CL0000559,PATO0000461,657
CL0002355,PATO0000461,820
CL0000557,PATO0000461,339
CL0005006,MONDO0021113,99
CL0005006,MONDO0100096,103
CL0005006,MONDO0100233,99
CL0005006,PATO0000461,130
CL0000359,MONDO0010811,468
CL0000814,PATO0000461,5254
CL0019029,PATO0000461,25
CL0019028,PATO0000461,25
CL0019026,PATO0000461,25
CL0000625,MONDO0021113,239
CL0000625,MONDO0100233,239
CL1000320,PATO0000461,217
CL1000452,MONDO0002492,356
CL1000452,MONDO0005300,356
CL0000921,PATO0000461,2492
CL0000388,PATO0000461,1297
CL0000669,MONDO0005011,29
CL0000097,PATO0000461,1202
CL0002320,PATO0000461,581
CL0002399,PATO0000461,209
CL0002393,PATO0000461,278
CL0002394,PATO0000461,353
CL1000692,PATO0000461,89
CL0000499,PATO0000461,234
CL0000669,MONDO0010811,665
CL1000305,MONDO0010811,689
CL1000305,PATO0000461,689
CL0000794,PATO0000461,596
CL0000138,PATO0000461,147
CL0000092,PATO0000461,135
CL0000784,MONDO0100096,163
CL0000789,MONDO0100096,219
CL0000814,MONDO0100096,2246
CL0000818,MONDO0100096,345
CL0000798,MONDO0100096,62
CL0000775,MONDO0100096,53
CL0000094,MONDO0100096,103
CL0001050,MONDO0100096,154
CL0000990,MONDO0100096,54
CL0000789,PATO0000461,219
CL0000818,PATO0000461,345
CL0000798,PATO0000461,126
CL0000094,PATO0000461,103
CL0001050,PATO0000461,154
CL0000990,PATO0000461,108
CL0000784,MONDO0005011,5
CL0000576,MONDO0005011,58
CL0000990,MONDO0005011,54
CL0000049,PATO0000461,424
CL0000836,PATO0000461,182
CL0000784,MONDO0021113,3
CL0000235,MONDO0021113,164
CL0000235,MONDO0100096,164
CL0000784,MONDO0100233,3
CL0000235,MONDO0100233,164
CL0002397,PATO0000461,472
CL0000798,MONDO0005011,64
CL1000330,PATO0000461,473
CL0000816,PATO0000461,319
CL0002045,PATO0000461,621
CL0000826,PATO0000461,393
CL0002262,PATO0000461,22
CL0000131,PATO0000461,24
CL0000548,MONDO0100096,1064
CL0000786,MONDO0100096,199
CL0000097,MONDO0100096,64
CL0000492,PATO0000461,81
CL0000907,PATO0000461,67
CL0000904,PATO0000461,145
CL0009113,PATO0000461,55
CL0000896,PATO0000461,131
CL0000934,PATO0000461,295
CL0001078,PATO0000461,88
CL0000624,MONDO0005011,114
CL0000625,MONDO0005011,46
CL0001069,PATO0000461,110
CL0000771,PATO0000461,60
CL0000938,PATO0000461,73
CL0000863,MONDO0021113,41
CL0000794,MONDO0021113,27
CL0000084,MONDO0021113,63
CL0000863,MONDO0100096,41
CL0000794,MONDO0100096,27
CL0000084,MONDO0100096,63
CL0000863,MONDO0100233,41
CL0000794,MONDO0100233,27
CL0000084,MONDO0100233,63
CL0000863,PATO0000461,41
CL1000413,MONDO0004298,84
CL1000413,MONDO0004966,84
CL1000413,MONDO0013662,84
CL1000223,PATO0000461,64
CL0000787,MONDO0100096,244
CL0000875,PATO0000461,51
CL0000763,MONDO0005011,26
CL0000763,PATO0000461,26
CL0000451,MONDO0021113,16
CL0000451,MONDO0100233,16
CL0000906,PATO0000461,354
CL1000850,PATO0000461,20
CL0009016,PATO0000461,28
CL0008015,PATO0000461,17
CL0000100,PATO0000461,6
CL0001043,MONDO0005011,45
CL0001043,PATO0000461,45
CL0000186,MONDO0005011,30
CL1000413,MONDO0005011,62
CL0000786,MONDO0005011,21
CL0002038,MONDO0005011,30
CL0002138,MONDO0005011,38
CL0001056,MONDO0005011,8
CL0000815,MONDO0005011,25
CL0001056,PATO0000461,8
CL0002144,MONDO0004298,63
CL0002144,MONDO0004966,63
CL0002144,MONDO0013662,63
